TSK,PSFC,X.U10.,X.V10.,X.Q2.,RAINC,RAINNC,SNOW,TSLB,SMOIS,date_time,Windspeed
283.4,101269,6.6,0.8,0.0054,0,0,0,273.2,1,01.05.2018.00.00,6.65
284.5,101327,6.3,3.9,0.00561,0,0,0,273.2,1,01.05.2018.00.00,7.41
278.9,100067,6.9,-0.8,0.00435,0,0.1,0,280.3,0.3342,01.05.2018.00.00,6.95
284,101224,5.7,2.2,0.00566,0,0,0,273.2,1,01.05.2018.00.00,6.11
284.2,101128,6.7,6.6,0.00571,0,0,0,273.2,1,01.05.2018.00.00,9.4
274.2,100558,3.2,1.9,0.00426,0,0.1,0,278.3,0.3602,01.05.2018.00.00,3.72
285.1,101407,6.4,3.9,0.0056,0,0,0,273.2,1,01.05.2018.00.00,7.49
276.1,100002,3.6,-0.2,0.00462,0,0,0,278.8,0.3211,01.05.2018.00.00,3.61
284.2,101335,5.7,2.1,0.00574,0,0,0,273.2,1,01.05.2018.00.00,6.07
284,101422,5.8,-0.6,0.00521,0,0,0,273.2,1,01.05.2018.00.00,5.83
276.8,99215,3.9,2.8,0.00472,0,0,0,279.3,0.3223,01.05.2018.00.00,4.8
275.5,99503,2.6,1.1,0.0046,0,0,0,279.5,0.3121,01.05.2018.00.00,2.82
283.6,99644,6.1,-0.1,0.00527,0,0,0,273.2,1,01.05.2018.00.00,6.1
277.4,99785,3.5,3.5,0.00466,0,0,0,279.6,0.3179,01.05.2018.00.00,4.95
284.9,101420,6,2.3,0.0056,0,0,0,273.2,1,01.05.2018.00.00,6.43
283.6,101225,6.7,1.6,0.00567,0,0,0,273.2,1,01.05.2018.00.00,6.89
278.8,100196,4,1.1,0.00504,0,0.3,0,280.3,0.3247,01.05.2018.00.00,4.15
284,101203,6,4.3,0.00551,0,0,0,279.3,1,01.05.2018.00.00,7.38
272.6,100083,2.8,2,0.00389,0,0.2,0.1,278.3,0.3443,01.05.2018.00.00,3.44
284.8,101348,5.9,2,0.00572,0,0,0,273.2,1,01.05.2018.00.00,6.23
282.8,100777,9,-2.5,0.00486,0,0,0,273.2,1,01.05.2018.00.00,9.34
279.1,100575,5.8,0.3,0.00441,0,0.4,0,280.6,0.3133,01.05.2018.00.00,5.81
285,101438,5.9,1.7,0.00562,0,0,0,273.2,1,01.05.2018.00.00,6.14
283.3,100968,7.7,-1.6,0.00578,0,0,0,273.2,1,01.05.2018.00.00,7.86
284.5,101481,5.8,1.2,0.00554,0,0,0,273.2,1,01.05.2018.00.00,5.92
271.9,99786,2.1,1.7,0.00387,0,0,0,279.2,0.3164,01.05.2018.00.00,2.7
